"binomial","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Hand.Wing.Index","Tail.Length","Mass","Habitat","Habitat.Density","Migration","Trophic.Niche","Primary.Lifestyle","Range.Size","hab_breadth","adult_length_cm","female_maturity_d","clutch_size_n","clutches_per_y","maximum_longevity_y","egg_mass_g","incubation_d","fledging_age_d","birth_or_hatching_weight_g","annual_survival","PopulationDensity_ind_km2","eye_axial_length","eye_tranverse_diameter","Nest_type","Foraging","Development_continuum","Gregariousness","relative_brain"
"Gelochelidon nilotica",1.86778707746047,2.4714294850205,-0.00812103172813383,0.899229350193123,-0.242555538992591,1.23244879726623,2.24987576851827,2.06793043528063,0.569535367425989,-0.13140944088452,"Coastal","3","3","Omnivore","Aerial",-0.246194089803689,1.30032850261549,0.700026751667598,5.27313719355626,-0.686679363935351,-0.923703264803391,0.656070932353294,0.510102428343347,0.42222907525662,0.925602443469768,0.654458654440344,1.00370858056722,-0.61164118456516,1.0044372871882,0.90488635132058,"ExposedGround","AerialScreening",0.299634020369528,"seasonal",1.40243787687303
"Glareola pratincola",-0.252881498982488,-0.588290119337389,-0.489066577405402,-0.425284803822344,-0.267751325916068,0.0685418124682985,0.568778530390124,1.61256263354748,0.218471694323398,-0.256436542435122,"Grassland","3","3","Invertivore","Aerial",-0.471611571770973,0.947259174090752,-0.0739354097266903,-0.418326589913039,-0.686679363935351,-0.923703264803391,0.0386388466566959,-0.315291606668199,-0.208760773486656,0.507999140226186,-0.401511030883626,0.861731517247376,-0.146807523835072,-0.174109773459562,0.246415212851364,"ExposedGround","AerialScreening",1.00345552377732,"all-year round",0.352526974129195
"Lanius meridionalis",0.0170217743829789,0.00218208501237896,0.176858024301585,0.374942497562,-0.280349219377806,-0.644523731577862,-0.83159179030303,-1.0545916337467,0.222483850587427,-0.279398791220652,"Shrubland","2","2","Invertivore","Insessorial",-0.96909224317688,-0.465018140008188,-0.170680679900976,-0.473901937613668,0.508009117484824,-0.456147499412501,0.674392359228565,-0.502059599991979,-0.654165372599557,-0.275007053355529,-0.606553688228086,-1.1259473692304,-0.532216671896111,-0.681311837063872,-0.665170911072933,"ExposedElevated","AerialSallying",-1.2203532298718,"no",0.146357757671735
"Lanius minor",-0.262520901602684,-0.391466051220799,0.250849646713472,0.457724632187967,-0.494513408227358,-0.516631975936035,-0.541072073422632,-0.172768271660275,-0.150646681967327,-0.292426352776524,"Grassland","3","3","Invertivore","Insessorial",-0.154266018065017,0.947259174090752,-0.396419643640977,-0.412345036401913,0.67092118313303,-0.923703264803391,-1.1760717551737,-0.542224759846555,-0.579931272747407,-0.849211595315454,-0.522691241374202,-2.11978681246928,-0.343290618925014,-0.477680370136217,-0.242083718017901,"ExposedElevated","AerialSallying",-1.2203532298718,"no",0.341937008406007
"Oenanthe hispanica",-0.802327448333619,-0.606183216438897,-0.85902468946484,-1.08754188083008,-0.586897960280106,-0.777015910084504,-0.857705922157448,-0.866662064777459,-0.684263465083265,-0.318950093210423,"Shrubland","2","3","Invertivore","Insessorial",-0.660724158798691,-0.818087468532923,-0.847897571120979,-0.412345036401913,0.399401073719354,-0.923703264803391,-1.37760745080167,-0.616530305577522,-0.802633572303857,-1.04757316435616,-0.673192551865035,-1.1259473692304,1.3117016051018,-0.92618865797903,-0.78683042343274,"Cavity","ForagingGeneralist",-0.705391508655402,"no",-0.244681802051132
"Oenanthe leucura",-0.0408146413381925,-0.19464198310421,-0.785033067052952,-0.8667895218275,-0.427324643098087,-0.710769820831183,-0.895244986698173,-1.22083702168102,-0.571923089690436,-0.297581143320215,"Rock","3","2","Invertivore","Insessorial",-0.893274582784632,-0.818087468532923,-0.589910183989549,-0.412345036401913,-0.143639145107999,2.81674285832373,-0.474361105850864,-0.545036321036376,-0.728399472451707,-0.797011182410006,-0.590286970745426,0.151846200648172,1.00941992034804,-0.804668585509558,-0.673035768437608,"Cavity","AerialSallying",-0.707213307197441,"no",-0.318520236811652
"Oenanthe oenanthe",-0.503505967107565,-0.498824633829848,-0.637049822229177,-1.00475974620411,-0.423125345277508,-0.717210412841922,-0.738560195571667,-0.45466262511413,-0.78256129355199,-0.313232961880148,"Shrubland","2","3","Invertivore","Insessorial",2.00809946002463,1.65339783114022,-0.783400724338121,-0.412345036401913,0.57860434593238,-0.923703264803391,-0.427946825044227,-0.604480757621149,-0.951101772008157,-0.849211595315454,-0.68857075116587,-0.771004710930795,0.261272750582498,-0.996740972108669,-0.724859560715552,"Cavity","AerialSallying",-0.707213307197441,"seasonal",-0.376025574553509
"Pluvialis apricaria",0.21944922940708,0.288471638636509,-0.933016311876727,-0.728819297450888,0.0303988193450728,0.0648614741764473,0.464322002972453,1.37403664216345,-0.499704276937903,-0.135439549855041,"Grassland","3","3","Invertivore","Terrestrial",-0.685058683364328,0.241120517041282,0.0228098604475958,-0.411368934327643,-0.143639145107999,-0.923703264803391,0.0697852723446549,0.610515327979788,1.67678536275796,0.664600378942529,0.794571136959059,0.151846200648172,-0.713585682748364,0.640296311035217,0.578248993893945,"ExposedGround","GroundForaging",1.58460925868781,"seasonal",-0.293025451024723
"Saxicola dacotiae",-0.67701521427108,-0.713541799047945,-0.970012123082671,-1.17032401545604,-0.641488831947639,-1.04292035167075,-1.06498684375189,-1.53887167685973,-0.985175184885486,-0.324573501076267,"Shrubland","2","1","Invertivore","Insessorial",-1.02682909650417,-0.465018140008188,-0.912394417903836,-0.412345036401913,-0.143639145107999,0.94651979676017,-1.02217176942144,-0.63942444669463,-0.802633572303857,-0.588209530788215,-0.679292570921033,-0.558039115951033,-0.524659629777267,-0.930061648624516,-0.826488264474704,"ExposedGround","AerialSallying",-0.613087049192085,"no",0.263697406346369
"Sylvia conspicillata",-1.06259131907889,-1.2861209062962,-1.413961857554,-1.41867041933394,-0.813660042591396,-1.09260491861074,-1.06009044402919,-1.37262628892541,-0.88286520015273,-0.32757265193805,"Shrubland","2","3","Invertivore","Insessorial",-0.890429621766058,-1.17115679705766,-0.944642841295265,-0.412345036401913,0.399401073719354,0.94651979676017,-0.730861082104644,-0.659908678220464,-1.02533587186031,-1.16241407274814,-0.561683520045873,-1.19693590089032,-0.532216671896111,-0.94978595149947,-0.870622754239863,"ExposedElevated","ArborealGleaning",-1.12622697186644,"no",1.01245447458252
"Vanellus vanellus",0.518270710633133,0.306364735738017,-0.600054011023234,-0.563255028198955,0.462926494864756,0.444856402810079,0.217869883596385,0.130810262828494,0.162301506626983,-0.131315717420089,"Wetland","3","2","Omnivore","Terrestrial",0.902595144681753,-0.465018140008188,0.151803554013311,1.00678243852096,-0.143639145107999,-0.923703264803391,2.21339221675124,0.329359208997753,0.934444364236455,1.55200739833514,0.309303514577169,1.21667417554698,-0.358404703162701,0.0813079704494994,0.478463616079637,"ExposedGround","GroundForaging",1.60343451028888,"seasonal",-0.451539231431904
